1_1_2025,Exp 1
Signal,Time
V,s
-1.995507,0.00074
-1.691165,0.00074
-1.001765,0.00074
-0.112748,0.00074
0.773532,0.00074
1.481947,0.00074
1.900843,0.00074
1.988812,0.00074
1.768246,0.00074
1.309394,0.00075
0.702481,0.00075
0.043209,0.00075
-0.542917,0.00075
-1.09086,0.00075
-1.518774,0.00075
-1.809421,0.00075
-1.965217,0.00075
-2.00034,0.00075
-1.934928,0.00075
-1.793954,0.00076
-1.599975,0.00076
-1.374256,0.00076
-1.133393,0.00076
-0.890436,0.00076
-0.655535,0.00076
-0.434328,0.00076
-0.231971,0.00076
-0.048625,0.00076
0.114743,0.00076
0.259099,0.00077
0.385895,0.00077
0.496901,0.00077
0.594052,0.00077
0.679764,0.00077
0.757098,0.00077
0.82686,0.00077
0.891467,0.00077
0.954301,0.00077
1.015524,0.00077
1.077713,0.00078
1.142642,0.00078
1.210954,0.00078
1.284099,0.00078
1.362723,0.00078
1.446824,0.00078
1.535436,0.00078
1.627271,0.00078
1.720234,0.00078
1.808847,0.00078
1.889565,0.00079
1.953205,0.00079
1.991712,0.00079
1.99429,0.00079
1.948533,0.00079
1.841714,0.00079
1.662555,0.00079
1.400262,0.00079
1.051613,0.00079
0.619347,0.00079
0.118287,0.0008
-0.424983,0.0008
-0.967287,0.0008
-1.484457,0.0008
-1.836166,0.0008
-1.996473,0.0008
-1.913017,0.0008
-1.563241,0.0008
-0.963581,0.0008
-0.182832,0.0008
0.658659,0.00081
1.403646,0.00081
1.88731,0.00081
1.977211,0.00081
1.615349,0.00081
0.852961,0.00081
-0.144487,0.00081
-1.124371,0.00081
-1.81071,0.00081
-1.986968,0.00081
-1.572425,0.00082
-0.669874,0.00082
0.454207,0.00082
1.441668,0.00082
1.963356,0.00082
1.832692,0.00082
1.082547,0.00082
-0.038797,0.00082
-1.148699,0.00082
-1.8671,0.00082
-1.948623,0.00083
-1.371034,0.00083
-0.338305,0.00083
0.798666,0.00083
1.6661,0.00083
1.996223,0.00083
1.704445,0.00083
0.904033,0.00083
-0.14787,0.00083
-1.14016,0.00083
-1.807166,0.00084
-1.996312,0.00084
-1.691487,0.00084
-1.002409,0.00084
-0.112909,0.00084
0.77321,0.00084
1.481625,0.00084
1.900199,0.00084
1.988489,0.00084
1.768246,0.00084
1.309233,0.00085
0.702481,0.00085
0.042887,0.00085
-0.543078,0.00085
-1.090215,0.00085
-1.518291,0.00085
-1.80926,0.00085
-1.964734,0.00085
-2.00034,0.00085
-1.934928,0.00085
-1.794277,0.00086
-1.60078,0.00086
-1.374256,0.00086
-1.133393,0.00086
-0.890597,0.00086
-0.655857,0.00086
-0.43465,0.00086
-0.232132,0.00086
-0.048303,0.00086
0.114743,0.00086
0.259422,0.00087
0.385895,0.00087
0.49674,0.00087
0.594213,0.00087
0.679925,0.00087
0.757098,0.00087
0.826699,0.00087
0.891628,0.00087
0.954301,0.00087
1.015201,0.00087
1.077713,0.00088
1.142803,0.00088
1.211115,0.00088
1.284099,0.00088
1.363206,0.00088
1.446824,0.00088
1.535598,0.00088
1.627433,0.00088
1.720073,0.00088
1.809008,0.00088
1.889082,0.00089
1.952883,0.00089
1.991067,0.00089
1.99429,0.00089
1.948211,0.00089
1.841875,0.00089
1.662716,0.00089
1.400584,0.00089
1.051935,0.00089
0.619508,0.00089
0.118126,0.0009
-0.424822,0.0009
-0.967287,0.0009
-1.484135,0.0009
-1.836166,0.0009
-1.996312,0.0009
-1.913178,0.0009
-1.563402,0.0009
-0.963742,0.0009
-0.182993,0.0009
0.658336,0.00091
1.403484,0.00091
