Time (s)	Signal (V)
0.000847	1.900199
0.000848	1.988489
0.000849	1.768246
0.000850	1.309233
0.000851	0.702481
0.000852	0.042887
0.000853	-0.543078
0.000854	-1.090215
0.000855	-1.518291
0.000856	-1.809260
0.000857	-1.964734
0.000858	-2.000340
0.000859	-1.934928
0.000860	-1.794277
0.000861	-1.600780
0.000862	-1.374256
0.000863	-1.133393
0.000864	-0.890597
0.000865	-0.655857
0.000866	-0.434650
0.000867	-0.232132
0.000868	-0.048303
0.000869	0.114743
0.000870	0.259422
0.000871	0.385895
0.000872	0.496740
0.000873	0.594213
0.000874	0.679925
0.000875	0.757098
0.000876	0.826699
0.000877	0.891628
0.000878	0.954301
0.000879	1.015201
0.000880	1.077713
0.000881	1.142803
0.000882	1.211115
0.000883	1.284099
0.000884	1.363206
0.000885	1.446824
0.000886	1.535598
0.000887	1.627433
0.000888	1.720073
0.000889	1.809008
0.000890	1.889082
0.000891	1.952883
0.000892	1.991067
0.000893	1.994290
0.000894	1.948211
0.000895	1.841875
0.000896	1.662716
0.000897	1.400584
0.000898	1.051935
0.000899	0.619508
0.000900	0.118126
0.000901	-0.424822
0.000902	-0.967287
0.000903	-1.484135
0.000904	-1.836166
0.000905	-1.996312
0.000906	-1.913178
0.000907	-1.563402
0.000908	-0.963742
0.000909	-0.182993
0.000910	0.658336
0.000911	1.403484
0.000912	1.887310
0.000913	1.977050
0.000914	1.615188
0.000915	0.852799
0.000916	-0.144487
0.000917	-1.124371
0.000918	-1.811194
0.000919	-1.987773
0.000920	-1.572102
0.000921	-0.669874
0.000922	0.453884
0.000923	1.441829
0.000924	1.962872
0.000925	1.832531
0.000926	1.082869
0.000927	-0.038314
0.000928	-1.148377
0.000929	-1.866133
0.000930	-1.947817
0.000931	-1.370229
0.000932	-0.337983
0.000933	0.798343
0.000934	1.666261
0.000935	1.996062
0.000936	1.705251
0.000937	0.904033
0.000938	-0.147387
0.000939	-1.139838
0.000940	-1.807166
0.000941	-1.995668
0.000942	-1.691003
0.000943	-1.002409
0.000944	-0.112748
0.000945	0.773049
0.000946	1.481625
0.000947	1.901004
0.000948	1.988812
0.000949	1.768407
0.000950	1.309072
0.000951	0.702642
0.000952	0.043048
0.000953	-0.543078
0.000954	-1.090699
0.000955	-1.518291
0.000956	-1.809582
0.000957	-1.965540
0.000958	-1.999696
0.000959	-1.935089
0.000960	-1.793954
0.000961	-1.600458
0.000962	-1.373773
0.000963	-1.132910
0.000964	-0.890758
0.000965	-0.655374
0.000966	-0.434650
0.000967	-0.231971
0.000968	-0.048464
0.000969	0.115065
0.000970	0.259261
0.000971	0.385734
0.000972	0.496740
0.000973	0.593891
0.000974	0.680087
0.000975	0.756615
0.000976	0.826860
0.000977	0.891789
0.000978	0.953978
0.000979	1.015685
0.000980	1.077874
0.000981	1.142803
0.000982	1.210954
0.000983	1.284422
0.000984	1.363045
0.000985	1.446824
0.000986	1.535436
0.000987	1.627755
0.000988	1.720395
0.000989	1.808847
0.000990	1.888760
0.000991	1.952883
0.000992	1.991873
0.000993	1.994290
0.000994	1.948211
0.000995	1.841875
0.000996	1.662555
0.000997	1.400423
0.000998	1.052096
0.000999	0.619830
0.001000	0.118126
0.001001	-0.424983
0.001002	-0.966964
0.001003	-1.484779
0.001004	-1.836488
0.001005	-1.996473
0.001006	-1.913339
0.001007	-1.563563
0.001008	-0.963581
0.001009	-0.182993
0.001010	0.658497
0.001011	1.403968
0.001012	1.887632
0.001013	1.976889
0.001014	1.615349
0.001015	0.852961
0.001016	-0.144648
0.001017	-1.124532
0.001018	-1.811032
0.001019	-1.987612
0.001020	-1.573230
0.001021	-0.670196
0.001022	0.454046
0.001023	1.441668
0.001024	1.962872
0.001025	1.832531
0.001026	1.082869
0.001027	-0.038153
0.001028	-1.148055
0.001029	-1.866133
0.001030	-1.947173
0.001031	-1.370229
0.001032	-0.338144
0.001033	0.798021
0.001034	1.665294
0.001035	1.995256
0.001036	1.704767
0.001037	0.904033
0.001038	-0.147709
0.001039	-1.139838
0.001040	-1.807005
0.001041	-1.995990
0.001042	-1.691487
0.001043	-1.002087
0.001044	-0.112909
0.001045	0.772887
0.001046	1.482269
0.001047	1.900682
0.001048	1.988973
0.001049	1.768568
0.001050	1.308750
0.001051	0.702803
0.001052	0.042887
0.001053	-0.542917
0.001054	-1.090860
0.001055	-1.517969
0.001056	-1.809582
0.001057	-1.965056
0.001058	-2.000179
0.001059	-1.935411
0.001060	-1.794116
0.001061	-1.600458
0.001062	-1.374579
0.001063	-1.133232
0.001064	-0.890114
0.001065	-0.655535
0.001066	-0.434811
0.001067	-0.231971
0.001068	-0.048464
0.001069	0.114904
0.001070	0.259583
0.001071	0.386056
0.001072	0.496901
0.001073	0.594375
0.001074	0.680248
0.001075	0.757260
0.001076	0.827021
0.001077	0.891628
0.001078	0.954301
0.001079	1.015685
0.001080	1.077713
0.001081	1.142642
0.001082	1.210793
0.001083	1.284422
0.001084	1.363045
0.001085	1.446824
0.001086	1.535598
0.001087	1.627594
0.001088	1.719751
0.001089	1.808847
0.001090	1.889082
